priority_tier,gap_to_l1,kc_code,kc_name,chapter_info,have_total,have_anchor,have_easy,have_medium,have_hard,need_anchor,need_easy,need_medium,need_hard,need_total,prerequisites,successors,existing_questions
T1_QUICK_WIN,1,G6-MATH-BO-DAU-NGOAC,Bỏ dấu ngoặc có dấu + đằng trước ,B15K1,9,2,3,2,4,0,0,0,1,1,(none),G6-MATH-BO-NGOAC-LONG (Bỏ ngoặc lồng nhau ),"[medium] Cho biểu thức tổng quát: M = a + (b - c + d). Sau khi thực hiện quy tắc bỏ dấu ngoặc, biểu | [medium] Trong các biến đổi dưới đây, biến đổi nào thực hiện ĐÚNG quy tắc bỏ dấu ngoặc? | [easy] Khi bỏ dấu ngoặc trong biểu thức 15 + (−7), ta được kết quả là: | [easy] Phát biểu nào sau đây mô tả chính xác quy tắc bỏ dấu ngoặc có dấu ""+"" đằng trước? | [hard] Một học sinh thực hiện rút gọn biểu thức P = (m − n) + (p − q) như sau:
Bước 1: P = m − n  | [hard] Cho biểu thức S = a + (b + c − d). Nếu ta thay đổi dấu ""+"" đằng trước ngoặc thành dấu ""−"", | [easy] Phát biểu nào sau đây mô tả chính xác quy tắc bỏ dấu ngoặc có dấu ""+"" đằng trước? | [hard] Một học sinh thực hiện rút gọn biểu thức P = (m − n) + (p − q) như sau:
Bước 1: P = m − n  | [hard] Cho biểu thức S = a + (b + c − d). Nếu ta thay đổi dấu ""+"" đằng trước ngoặc thành dấu ""−"","
T1_QUICK_WIN,1,G6-MATH-CHIA-SO-THAP,Chia số thập phân có dấu,B29K2,9,4,2,4,3,0,1,0,0,1,G6-MATH-NHAN-BIET-VA (Nhận biết và đọc/viết số thập phân âm) | G9-MATH-THUC-HIEN-PHEP (Thực hiện phép chia hết hai số nguyên - xác định đúng dấu của thương),(none),"[medium] Cho hai số thập phân dương a và b. Quy tắc nào sau đây là đúng khi thực hiện phép chia hai | [hard] Kết quả của phép tính 0,84 : 0,07 là: | [easy] Trong các biểu thức sau, biểu thức nào có kết quả bằng với kết quả của phép tính 12.5 ÷ (− | [hard] Cho hai số thập phân x và y thỏa mãn x < 0 và y < 0. So sánh hai giá trị M = x ÷ y và N =  | [medium] Để tính thương của hai số thập phân khác dấu (−x) ÷ y (với x, y > 0), khẳng định nào sau đ | [easy] Kết quả của phép chia hai số thập phân cùng dấu âm luôn là: | [hard] Một học sinh giải bài toán tính thương (−1.5) ÷ 0.5 như sau:
Bước 1: Xét hai số 1.5 và 0.5 | [medium] Kết quả của phép tính 6,3 : 0,9 là: | [medium] Kết quả của phép tính 8,4 : 2 là:"
T1_QUICK_WIN,1,G6-MATH-MO-TA-CAC-1,Mô tả các tính chất của hình vuông,B18K1,9,2,3,2,4,0,0,0,1,1,(none),G6-MATH-NHAN-BIET-HINH (Nhận biết hình vuông ),"[medium] Cho hình vuông ABCD. Khẳng định nào sau đây mô tả đầy đủ và chính xác nhất các tính chất v | [medium] Trong các yếu tố sau của hình vuông MNPQ, yếu tố nào liên quan đến hai đường chéo? | [easy] Nếu một hình vuông có độ dài cạnh là 5 cm, thì độ dài của ba cạnh còn lại lần lượt là: | [easy] Mỗi góc của hình vuông có số đo bằng bao nhiêu độ? | [hard] Bạn Lan đang thực hiện các bước vẽ hình vuông XYZT có cạnh bằng a. Sau khi vẽ đoạn thẳng X | [hard] Cho hình vuông ABCD có độ dài cạnh là m và độ dài đường chéo là n. Phát biểu nào sau đây l | [easy] Mỗi góc của hình vuông có số đo bằng bao nhiêu độ? | [hard] Bạn Lan đang thực hiện các bước vẽ hình vuông XYZT có cạnh bằng a. Sau khi vẽ đoạn thẳng X | [hard] Cho hình vuông ABCD có độ dài cạnh là m và độ dài đường chéo là n. Phát biểu nào sau đây l"
T1_QUICK_WIN,2,G6-MATH-BO-NGOAC-LONG,Bỏ ngoặc lồng nhau ,B15K1,8,1,3,3,2,1,0,0,1,2,G9-MATH-BO-DAU-NGOAC (Bỏ dấu ngoặc có dấu - đằng trước) | G6-MATH-BO-DAU-NGOAC (Bỏ dấu ngoặc có dấu + đằng trước ) | G6-MATH-AP-DUNG-DUNG-1 (Áp dụng đúng thứ tự phép tính CÓ ngoặc (bao gồm ngoặc lồng nhiều cấp) Thứ tự ngoặc: {} → [] → ()),(none),"[medium] Để rút gọn biểu thức lồng nhau P = a - [b - (c + d)], một học sinh thực hiện bỏ dấu ngoặc  | [medium] Cho biểu thức tổng quát M = x - [y - (z - t)]. Khẳng định nào sau đây là đúng về cấu trúc  | [easy] Trong biểu thức −[3 − (−2)], bước bỏ ngoặc trong cùng đúng là: | [medium] Biểu thức x − [y − (−z)] sau khi bỏ hết ngoặc phải có dạng nào? | [easy] Bỏ ngoặc trong cùng của biểu thức a − [b − (c + d)] thì phần trong ngoặc vuông trở thành: | [hard] Biểu thức m − [−n − (p − q)] sau khi bỏ hết ngoặc có dạng nào? | [easy] Theo quy tắc dấu ngoặc trong SGK, khi bỏ dấu ngoặc có dấu ""-"" đằng trước, ta phải thực hiệ | [hard] Một bạn làm như sau:
a − [b − (c − d)] = a − [b − c − d] = a − b − c − d

Bạn đó sai đầu t"
T1_QUICK_WIN,2,G6-MATH-CHIA-HAI-PHAN,Chia hai phân số ,B26K2,8,1,2,3,3,1,1,0,0,2,G6-MATH-PHAN-SO-NGHICH (Phân số nghịch đảo ) | G6-MATH-NHAN-HAI-PHAN (Nhân hai phân số ),G9-MATH-TIM-MOT-SO (Tìm một số biết giá trị phân số của nó) | G6-MATH-B31K2 (Tính tỉ số của hai số và viết dưới dạng tỉ số phần trăm),"[easy] Để thực hiện phép chia một phân số cho một số nguyên k (với k ≠ 0), ta có thể hiểu là đang | [hard] Một học sinh giải bài toán chia phân số như sau:
Bước 1: (3/5) ÷ (2/7)
Bước 2: = (5/3) × ( | [hard] Cho biểu thức P = (m/n) ÷ (p/q) với m, n, p, q là các số nguyên khác 0. Nếu ta giữ nguyên  | [medium] Kết quả của phép tính 3/5 : 3 là: | [easy] Kết quả của phép tính 1/2 : 1/3 là: | [medium] Cho hai phân số a/b và c/d (với b, c, d ≠ 0). Theo quy tắc chia phân số, kết quả của phép  | [hard] Một bạn làm như sau:

4/7 : 2/3 = 4/7 × 2/3 = 8/21

Bạn đó sai ở đâu? | [medium] Kết quả của phép tính 2/3 : 5/7 là:"
T1_QUICK_WIN,2,G6-MATH-NHAN-BIET-HAI,Kiểm tra hai phân số bằng nhau bằng điều kiện nhân chéo -  a·d = b·c,B23K1,8,2,2,2,4,0,1,0,1,2,"G9-MATH-NHAN-BIET-PHAN (Nhận biết phân số có tử và mẫu là số nguyên, mẫu khác 0) | G6-MATH-NHAN-HAI-SO (Nhân hai số nguyên khác dấu ) | G6-MATH-NHAN-HAI-SO-1 (Nhân hai số nguyên cùng dấu)",(none),"[easy] Để kiểm tra xem hai phân số 1/2 và 3/6 có bằng nhau hay không, ta cần so sánh giá trị của  | [easy] Trong các cặp phân số sau, cặp phân số nào bằng nhau vì có tích chéo bằng 12? | [medium] Cho hai phân số a/b và c/d (với b, d ≠ 0). Theo định nghĩa, hai phân số này được gọi là bằ | [medium] Từ đẳng thức m·n = p·q (với m, n, p, q ≠ 0), ta có thể thiết lập được cặp phân số bằng nha | [hard] Biết rằng phân số x/y bằng phân số a/b (y, b ≠ 0). Nếu ta gấp đôi cả x và b thì hai tích c | [hard] Một học sinh phát biểu: ""Vì (-2)·(-6) = 3·4 nên phân số (-2)/3 bằng phân số 4/(-6)"". Khẳng | [hard] Biết rằng phân số x/y bằng phân số a/b (y, b ≠ 0). Nếu ta gấp đôi cả x và b thì hai tích c | [hard] Một học sinh phát biểu: ""Vì (-2)·(-6) = 3·4 nên phân số (-2)/3 bằng phân số 4/(-6)"". Khẳng"
T1_QUICK_WIN,2,G6-MATH-NHAN-BIET-VA,Nhận biết và đọc/viết số thập phân âm,B28K2,8,2,2,2,4,0,1,0,1,2,"G6-MATH-NHAN-BIET-DOC (Nhận biết, đọc và viết số nguyên âm)","G6-MATH-NHAN-SO-THAP (Nhân số thập phân có dấu) | G6-MATH-CHIA-SO-THAP (Chia số thập phân có dấu) | G6-MATH-SO-SANH-HAI-2 (So sánh hai số thập phân) | G6-MATH-CONG-TRU-SO (Cộng trừ số thập phân có dấu ) | G6-MATH-LAM-TRON-SO (Làm tròn số thập phân có dấu đến hàng cho trước) | G7-MATH-NHAN-BIET-SO (Nhận biết số thập phân hữu hạn và vô hạn tuần hoàn, xác định chu kì )","[easy] Cho số thập phân −15,08. Phát biểu nào sau đây về cấu trúc của số này là đúng? | [hard] Cho hai số thập phân dương a và b thỏa mãn a < b. Gọi −a và −b lần lượt là các số đối của  | [hard] Một học sinh thực hiện chuyển đổi phân số −x/1000 (với x là số tự nhiên có hai chữ số) san | [hard] Một học sinh thực hiện chuyển đổi phân số −x/1000 (với x là số tự nhiên có hai chữ số) san | [hard] Cho hai số thập phân dương a và b thỏa mãn a < b. Gọi −a và −b lần lượt là các số đối của  | [medium] Khẳng định nào sau đây là đúng về cách viết phân số thập phân −2021/100 dưới dạng số thập  | [medium] Cách đọc nào sau đây mô tả đúng số thập phân −10,025? | [easy] Trong các số sau đây, số nào được phân loại là số thập phân âm?"
T1_QUICK_WIN,2,G6-MATH-PHAN-SO-NGHICH,Phân số nghịch đảo ,B26K2,8,4,3,4,1,0,0,0,2,2,"G9-MATH-NHAN-BIET-PHAN (Nhận biết phân số có tử và mẫu là số nguyên, mẫu khác 0)",G6-MATH-CHIA-HAI-PHAN (Chia hai phân số ),"[medium] Cho phân số m/n (với m, n ≠ 0). Phân số nghịch đảo của m/n là: | [hard] Cho phân số P = (n - 2)/7 với n là số nguyên. Tìm điều kiện của n để phân số P có phân số  | [medium] Hai phân số được gọi là nghịch đảo của nhau nếu tích của chúng bằng: | [easy] Để tìm phân số nghịch đảo của số nguyên -5, ta viết -5 dưới dạng phân số là (-5)/1. Vậy ph | [medium] Khẳng định nào sau đây là đúng khi nói về phân số nghịch đảo? | [easy] Số nguyên n (với n ≠ 0) có thể được viết dưới dạng phân số n/1. Phân số nghịch đảo của số  | [easy] Phân số nghịch đảo của phân số (-3)/7 là: | [medium] Cho phân số m/n (với m, n ≠ 0). Phân số x được gọi là phân số nghịch đảo của m/n khi thỏa "
T1_QUICK_WIN,2,G6-MATH-PHAN-TICH-RA,Phân tích ra thừa số nguyên tố,B10K1,8,3,2,4,2,0,1,0,1,2,"G6-MATH-NHAN-BIET-SO (Nhận biết số nguyên tố và hợp số) | G9-MATH-NHAN-BIET-CAU (Nhận biết cấu trúc lũy thừa (cơ số, số mũ, đọc/viết ký hiệu aⁿ))",G6-MATH-TIM-BCNN (Tìm BCNN) | G6-MATH-TIM-UCLN (Tìm ƯCLN) | G7-MATH-TINH-CAN-BAC (Tính căn bậc hai số học bằng cách phân tích thừa số nguyên tố),"[hard] Một học sinh phân tích số n ra thừa số nguyên tố theo sơ đồ cây như sau:
Bước 1: Tách n =  | [medium] Trong các biểu thức sau, biểu thức nào là dạng phân tích ra thừa số nguyên tố của một số t | [hard] Cho số tự nhiên n = a² · b³ với a và b là hai số nguyên tố khác nhau. Khẳng định nào sau đ | [medium] Khi phân tích một hợp số n ra thừa số nguyên tố, khẳng định nào sau đây mô tả đúng nhất về | [easy] Khi thực hiện phân tích một số ra thừa số nguyên tố theo sơ đồ cột, ta thực hiện phép chia | [easy] Trong các phát biểu sau, phát biểu nào về số 0 và số 1 là đúng nhất theo nội dung bài học? | [medium] Theo quy ước của toán học, dạng phân tích ra thừa số nguyên tố của một số nguyên tố p là g | [medium] Khẳng định nào sau đây mô tả đúng quy ước về cách trình bày kết quả khi phân tích một hợp "
T1_QUICK_WIN,2,G6-MATH-SO-SANH-HAI,So sánh hai phân số cùng mẫu ,B24K2,8,4,4,4,0,0,0,0,3,2,"G9-MATH-SO-SANH-HAI-1 (Biểu diễn số nguyên trên trục số và so sánh hai số nguyên) | G9-MATH-NHAN-BIET-PHAN (Nhận biết phân số có tử và mẫu là số nguyên, mẫu khác 0)",G6-MATH-SO-SANH-HAI-1 (So sánh hai phân số khác mẫu bằng cách quy đồng mẫu),"[medium] Để so sánh hai phân số 3/-7 và -4/7, bước đầu tiên đúng quy tắc nhất là: | [medium] Cho hai phân số a/m và b/m với m là số nguyên dương. Khẳng định nào sau đây là đúng theo q | [easy] Khi so sánh hai phân số -11/15 và -13/15, việc so sánh hai phân số này được đưa về việc so | [easy] Trong các cặp phân số cùng mẫu dương dưới đây, cặp nào có phân số thứ nhất nhỏ hơn phân số | [medium] Để so sánh hai phân số cùng mẫu là x/n và y/n theo quy tắc ""tử lớn hơn thì phân số lớn hơn | [easy] Khi so sánh hai phân số 3/(-7) và 5/(-7), bước đầu tiên đúng quy trình là gì? | [easy] Trong các cặp phân số sau đây, cặp phân số nào đã ở dạng cùng mẫu dương và có thể so sánh  | [medium] Cho hai phân số a/m và b/m với a, b, m ∈ ℤ và m > 0. Khẳng định nào sau đây là đúng theo q"
T1_QUICK_WIN,2,G6-MATH-TIA,Tia,B32K2,8,4,4,4,0,0,0,0,3,2,(none),"G6-MATH-TIA-DOI-NHAU (Tia đối nhau) | G9-MATH-NHAN-BIET-GOC (Nhận biết góc - đỉnh, cạnh, ký hiệu) | G7-MATH-NHAN-BIET-TIA (Nhận biết tia phân giác và tính số đo góc )","[easy] Trong cách viết tên ""tia Am"", ký tự nào đại diện cho gốc của tia? | [medium] Hai tia được gọi là đối nhau nếu chúng thỏa mãn đồng thời các điều kiện nào sau đây? | [medium] Cho điểm M nằm trên đường thẳng d. Cách viết ký hiệu nào sau đây mô tả đúng mối quan hệ nà | [easy] Trong các cách đặt tên sau đây, cách nào tuân thủ đúng quy ước thông thường trong hình học | [medium] Khi ba điểm A, B, C cùng thuộc một đường thẳng, ta gọi ba điểm đó là: | [easy] Qua hai điểm phân biệt P và Q cho trước, có thể vẽ được bao nhiêu đường thẳng đi qua cả ha | [medium] Khẳng định nào sau đây mô tả chính xác nhất về tia Ox? | [easy] Cho điểm B nằm giữa hai điểm A và C. Khẳng định nào sau đây là SAI?"
T1_QUICK_WIN,2,G6-MATH-TIM-VA-XAC,Tìm và xác định trục đối xứng của hình phẳng,B21K1,8,4,3,4,1,0,0,0,2,2,(none),G6-MATH-NHAN-BIET-HINH-1 (Nhận biết hình có trục đối xứng),"[medium] Cho một hình phẳng và một đường thẳng d. Theo định nghĩa về hình có trục đối xứng, đường t | [medium] Trong các khẳng định sau về trục đối xứng của các hình phẳng quen thuộc, khẳng định nào đú | [easy] Để cắt chữ T từ một tờ giấy hình chữ nhật bằng cách gấp đôi tờ giấy một lần duy nhất, ta n | [medium] Đường thẳng d được gọi là trục đối xứng của một hình phẳng nếu: | [medium] Xét một hình chữ nhật. Phát biểu nào sau đây mô tả đúng về trục đối xứng của nó? | [easy] Để cắt được chữ T từ một tờ giấy hình chữ nhật bằng phương pháp gấp đôi một lần duy nhất,  | [hard] Bạn An thực hiện một thí nghiệm: ""Lấy một hình thoi (không phải hình vuông), vẽ hai đường  | [easy] Hình nào trong các hình sau đây có số lượng trục đối xứng lớn nhất?"
T1_QUICK_WIN,2,G6-MATH-TINH-DO-DAI,Tính độ dài qua trung điểm ,B35K2,8,3,4,3,1,0,0,0,2,2,G6-MATH-SO-SANH-DO (So sánh độ dài đoạn thẳng) | G6-MATH-NHAN-BIET-TRUNG (Nhận biết trung điểm của đoạn thẳng ) | G6-MATH-CONG-DO-DAI (Cộng độ dài đoạn thẳng ),(none),"[hard] Bạn An thực hiện bài toán: ""Cho M là trung điểm AB. Biết AM = 3 cm, tính AB"". An giải như  | [medium] Cho điểm M là trung điểm của đoạn thẳng AB. Khẳng định nào sau đây diễn đạt đúng nhất về m | [medium] Nếu điểm K nằm giữa hai điểm C và D sao cho CK = 5 cm, thì để K là trung điểm của đoạn thẳ | [easy] Cho đoạn thẳng EF có độ dài là L. Nếu G là trung điểm của EF thì độ dài đoạn thẳng EG được | [medium] Nếu điểm M là trung điểm của đoạn thẳng PQ có độ dài bằng s, khẳng định nào sau đây mô tả  | [easy] Điểm C là trung điểm của đoạn thẳng AB. Nếu biết độ dài đoạn thẳng AC là m, thì độ dài đoạ | [easy] Để điểm I là trung điểm của đoạn thẳng PQ, cần thỏa mãn bao nhiêu điều kiện trong hai điều | [easy] Trên tia Ox, lấy hai điểm E và F sao cho OE = EF. Khẳng định nào sau đây là đúng nhất về v"
T1_QUICK_WIN,2,G9-MATH-NHAN-BIET-BINH,"Nhận biết bình phương, lập phương,",B6K1,8,4,2,4,2,0,1,0,1,2,"G9-MATH-NHAN-BIET-CAU (Nhận biết cấu trúc lũy thừa (cơ số, số mũ, đọc/viết ký hiệu aⁿ))",G9-MATH-NHAN-BIET-SO (Nhận biết số chính phương),"[medium] Ký hiệu toán học nào dưới đây biểu diễn ""lập phương của 8""? | [medium] Phát biểu nào sau đây là ĐÚNG khi đọc biểu thức 12²? | [easy] Phép tính nào dưới đây giải thích đúng ý nghĩa của cụm từ ""bình phương của 7""? | [hard] Một bạn học sinh phát biểu: ""Số 8 là một số chính phương vì 8 = 4 × 2"". Phát biểu này đúng | [hard] Các số 0, 1, 4, 9, 16,... gọi là các số chính phương. Dựa vào quy luật đó, số nào dưới đây | [medium] Khẳng định nào sau đây là đúng khi nói về biểu thức x³ (với x là số tự nhiên)? | [medium] Trong các cách viết sau, cách viết nào biểu diễn ""Bình phương của tổng a và b""? | [easy] Đối với lũy thừa 5², số 5 được gọi là gì?"
T1_QUICK_WIN,3,G6-MATH-AP-DUNG-DUNG,Áp dụng đúng thứ tự phép tính KHÔNG có ngoặc Thứ tự: lũy thừa → nhân chia → cộng trừ (trái sang phải khi cùng cấp),B7K1,7,2,2,2,3,0,1,0,2,3,"G9-MATH-NHAN-BIET-CAU (Nhận biết cấu trúc lũy thừa (cơ số, số mũ, đọc/viết ký hiệu aⁿ))",(none),"[medium] Trong một biểu thức không có dấu ngoặc, chỉ bao gồm các phép tính: cộng, trừ, nhân, chia v | [medium] Để tính giá trị của biểu thức M = 100 - 2 · 3² + 5 theo đúng quy tắc, bước thực hiện đầu t | [easy] Khi thực hiện tính giá trị biểu thức A = 48 ÷ 4 · 2, quy tắc nào sau đây là đúng? | [easy] Cho biểu thức biểu diễn dưới dạng chữ: P = a + b · c. Khẳng định nào sau đây mô tả đúng tr | [hard] Một học sinh giải bài toán tính giá trị biểu thức Q = 20 - 10 ÷ 2 · 3 như sau:
Bước 1: Q = | [hard] Xét biểu thức tổng quát (không có dấu ngoặc): X = aⁿ - b · c ÷ d + e. Gọi T1 là kết quả củ | [hard] Xét biểu thức tổng quát (không có dấu ngoặc): X = aⁿ - b · c ÷ d + e. Gọi T1 là kết quả củ"
T1_QUICK_WIN,3,G6-MATH-AP-DUNG-DUNG-1,Áp dụng đúng thứ tự phép tính CÓ ngoặc (bao gồm ngoặc lồng nhiều cấp) Thứ tự ngoặc: {} → [] → (),B7K1,7,2,2,3,2,0,1,0,2,3,(none),G6-MATH-BO-NGOAC-LONG (Bỏ ngoặc lồng nhau ),"[medium] Khi thực hiện tính giá trị của một biểu thức có chứa các dấu ngoặc: ngoặc tròn ( ), ngoặc  | [medium] Trong biểu thức {18 − [6 − (4 − 1)]}, nhóm ngoặc nào phải được thực hiện trước? | [easy] Trong biểu thức P = 100 : [5 · (3 + 2)], phép tính nằm trong dấu ngoặc nào cần được ưu tiê | [hard] Bạn An thực hiện tính giá trị biểu thức M = 120 : {2 · [30 - (5 + 5)]} theo các bước sau:
 | [medium] Cho biểu thức tổng quát: A = x + {y ÷ [z · (m - n)]}. Trong các bước thực hiện dưới đây, b | [hard] Xét biểu thức T = a - {b + [c - (d + e)]}. Sau khi thực hiện phép tính (d + e) và thu được | [easy] Để tính giá trị biểu thức Q = 80 - {20 + [10 - (5 + 3)]}, một học sinh phát biểu các bước "
T1_QUICK_WIN,3,G6-MATH-B37K2,Nhận biết góc đặc biệt ,B37K2,7,2,2,2,3,0,1,0,2,3,G6-MATH-DO-GOC-BANG (Nhận biết số đo góc và đo góc bằng thước đo góc),"G7-MATH-NHAN-BIET-DUONG-1 (Nhận biết đường vuông góc, đường xiên, khoảng cách) | G6-MATH-GOC-BET (Góc bẹt) | G7-MATH-AP-DUNG-HE (Áp dụng hệ quả tính chất hai đường tăhnrg song song (vuông góc) ) | G7-MATH-PHAN-LOAI-TAM (Phân loại tam giác theo góc ) | G7-MATH-NHAN-BIET-DUONG (Nhận biết đường trung trực )","[easy] Trong các số đo sau đây, số đo nào có thể là số đo của một góc nhọn? | [hard] Cho góc m có số đo là a và góc n có số đo là b. Biết rằng 90° < a < 180° và tổng số đo hai | [medium] Khẳng định nào sau đây mô tả đúng về đặc điểm của góc tù? | [medium] Khi so sánh một góc nhọn (ký hiệu là góc x) và một góc vuông (ký hiệu là góc y), khẳng địn | [easy] Dụng cụ đo góc (thước đo độ) cho biết một góc có số đo tối đa là bao nhiêu độ? | [hard] Một bạn học sinh phát biểu: ""Mọi góc có số đo lớn hơn 90° đều là góc tù"". Phát biểu này đú | [hard] Một bạn học sinh phát biểu: ""Mọi góc có số đo lớn hơn 90° đều là góc tù"". Phát biểu này đú"
T1_QUICK_WIN,3,G6-MATH-NHAN-BIET-HINH,Nhận biết hình vuông ,B18K1,7,2,3,2,2,0,0,0,3,3,G6-MATH-MO-TA-CAC-1 (Mô tả các tính chất của hình vuông),G6-MATH-VE-HINH-VUONG (Vẽ Hình vuông),"[easy] Trong các đặc điểm sau, đặc điểm nào KHÔNG PHẢI là của hình vuông? | [hard] Một bạn học sinh khẳng định: ""Nếu một hình tứ giác có bốn cạnh bằng nhau thì đó chắc chắn  | [medium] Trong hình vuông ABCD, khẳng định nào sau đây mô tả đúng và đầy đủ nhất về các góc của hìn | [medium] Cho hình vuông MNPQ. Hai đoạn thẳng nào sau đây chắc chắn có độ dài bằng nhau? | [easy] Hình vuông là hình có bao nhiêu cạnh bằng nhau? | [easy] Trong các đặc điểm sau, đặc điểm nào KHÔNG PHẢI là của hình vuông? | [hard] Một bạn học sinh khẳng định: ""Nếu một hình tứ giác có bốn cạnh bằng nhau thì đó chắc chắn "
T1_QUICK_WIN,3,G6-MATH-NHAN-BIET-HINH-2,Nhận biết hình có tâm đối xứng,B22K1,7,3,2,3,2,0,1,0,2,3,(none),G6-MATH-XAC-DINH-VI (Xác định vị trí tâm đối xứng của hình phẳng cụ thể ) | G6-MATH-XAC-DINH-VI-1 (Xác định vị trí tâm đối xứng của các hình khác),"[hard] Bạn An khẳng định: ""Tất cả các hình có trục đối xứng thì chắc chắn sẽ có tâm đối xứng"". Ph | [medium] Trong các hình phẳng sau: Hình bình hành, hình thoi, hình chữ nhật và hình vuông, điểm nào | [hard] Giả sử điểm O là tâm đối xứng của một hình H. Nếu lấy một điểm M bất kỳ thuộc hình H, thì  | [easy] Cho hình lục giác đều có tâm O là giao điểm của các đường chéo chính. Nếu ta thực hiện qua | [easy] Trong các hình dưới đây, hình nào KHÔNG có tâm đối xứng trong thực tế? | [medium] Một hình phẳng được gọi là hình có tâm đối xứng O nếu ta quay hình đó xung quanh điểm O đú | [medium] Một hình phẳng được gọi là hình có tâm đối xứng O nếu khi ta quay hình đó xung quanh điểm "
T1_QUICK_WIN,3,G6-MATH-NHAN-BIET-SO-1,Xác định số đối của một số nguyên,B14K1,7,2,2,2,3,0,1,0,2,3,"G6-MATH-NHAN-BIET-DOC (Nhận biết, đọc và viết số nguyên âm)",G6-MATH-TU-CHO-SO (Trừ hai số nguyên) | G9-MATH-BO-DAU-NGOAC (Bỏ dấu ngoặc có dấu - đằng trước) | G6-MATH-SO-DOI-CUA (Xác định số đối của phân số),"[medium] Cho hai số nguyên m và n là hai số đối nhau. Khẳng định nào sau đây luôn đúng về tổng của  | [medium] Ký hiệu số đối của số nguyên a là -a. Theo quy tắc này, cách viết nào sau đây thể hiện đún | [easy] Trên trục số nằm ngang, nếu điểm biểu diễn số nguyên x nằm bên trái điểm 0 và cách điểm 0  | [easy] Trong tập hợp các số nguyên, số nào có đặc điểm là ""số đối của chính nó""? | [hard] Cho x là một số nguyên âm. Phát biểu nào sau đây là ĐÚNG nhất khi nói về số đối của x (ký  | [hard] Một học sinh thực hiện phép trừ hai số nguyên như sau: 7 - (-4) = 7 - 4 = 3. Em hãy phân t | [hard] Một học sinh thực hiện phép trừ hai số nguyên như sau: 7 - (-4) = 7 - 4 = 3. Em hãy phân t"
T1_QUICK_WIN,3,G6-MATH-NHAN-BIET-TAP,Nhận biết tập hợp và liệt kê tập hợp,B1K1,7,1,0,0,0,1,3,2,3,3,(none),G6-MATH-NHAN-BIET-PHAN (Nhận biết phần tử thuộc hoặc không thuộc tập hợp) | G6-MATH-NHAN-BIET-SO-2 (Nhận biết số thực và tập hợp R),"[None] Tập hợp các chữ cái trong từ ""TOÁN"" được viết là: | [None] Cho tập hợp A = {7}. Khẳng định nào sau đây là đúng? | [None] Liệt kê tập hợp A gồm các số tự nhiên chẵn lớn hơn 3 và nhỏ hơn 12. | [None] Tập hợp B gồm các chữ số xuất hiện trong số 20 262 là: | [None] Cách viết nào dưới đây là cách viết đúng của tập hợp gồm các số 1, 2, 3? | [None] Tập hợp C gồm các số tự nhiên x thỏa mãn x · 0 = 0 và x < 4 là: | [None] Tập hợp các số tự nhiên nhỏ hơn 5 là:"
